ANO;MES;PERFIL_CARGA;TIPO_MERCADORIA;MOVIMENTACAO;NAVEGACAO;TIPO_INSTALACAO;TOTAL_TONELADAS;TOTAL_TEU;TOTAL_UNIDADE
2020;1;CONTEINER;CONTAINER;;EXPORTACAO/LONGO CURSO;TUP;0;0;0
2020;1;CONTEINER;CONTAINERS;;EXPORTACAO/LONGO CURSO;TUP;0;0;0
2020;1;CONTEINER;CONTEINERES;;EXPORTACAO/CABOTAGEM;TUP;0;0;0
2020;1;CONTEINER;CONTEINERES;;EXPORTACAO/LONGO CURSO;TUP;0;0;0
2020;1;CONTEINER;CONTEINERES;;IMPORT/EXPORT/LONGO CURSO;TUP;0;0;0
2020;1;CONTEINER;CONTEINERES/VRS;;EXPORTACAO/LONGO CURSO;TUP;7.500;664;16
2020;1;CONTEINER;DIESEL;;EXPORTACAO/CABOTAGEM;PORTO ORGANIZADO;165.005;0;0
2020;1;CONTEINER;DIESEL MARITIMO;;EXPORTACAO/CABOTAGEM;PORTO ORGANIZADO;89.853;0;0
2020;1;CONTEINER;DIESEL S10 E DIESEL MARITIMO;;EXPORTACAO/CABOTAGEM;PORTO ORGANIZADO;41.126;0;0
2020;1;CONTEINER;FARELO;;EXPORTACAO/LONGO CURSO;TUP;363.728;0;0
2020;1;CONTEINER;FARELO DE MILHO;;EXPORTACAO/LONGO CURSO;TUP;668.879;0;0
2020;1;CONTEINER;FARELO DE SOJA;;EXPORTACAO/LONGO CURSO;TUP;8.355.822;0;0
2020;1;CONTEINER;GASOLINA;;EXPORTACAO/CABOTAGEM;PORTO ORGANIZADO;482.394;0;0
2020;1;CONTEINER;MILHO A GRANEL;;EXPORTACAO/LONGO CURSO;TUP;3.385.298;0;0
2020;1;CONTEINER;MILHO GRANEL;;EXPORTACAO/LONGO CURSO;PORTO ORGANIZADO;901.600;0;0
2020;1;CONTEINER;OLEO COMBUSTIVEL;;EXPORTACAO/CABOTAGEM;PORTO ORGANIZADO;612.739;0;0
2020;1;CONTEINER;OLEO COMBUSTIVEL;;EXPORTACAO/LONGO CURSO;PORTO ORGANIZADO;148.191;0;0
